,Cod_UNb_PDV,Cod UNB,Cod Pdv,Nome Fantasia
0,730009_13791,730009,13791,BURGER KING
1,607371_24086,607371,24086,BOOBS DRIVE SARANDI
2,607371_21259,607371,21259,DIVINO FOGAO
3,607371_14049,607371,14049,VIVENDA DO CAMARAO
4,607371_2277,607371,2277,JIN JIN FAST FOOD
5,607371_16365,607371,16365,JIN JIN CHINESE FOOD
6,607371_24175,607371,24175,JOHNNY ROCKETS
7,607371_23675,607371,23675,BURGER KING
8,607371_23691,607371,23691,BK OPERACAO E ASSESS
9,607371_22128,607371,22128,BURGER KING CM
10,607371_20443,607371,20443,BK MARINGA PARK SHOP
11,607371_1132,607371,1132,HOTEL IBIS MARINGA
12,607371_19312,607371,19312,HOTEL IBIS CENTRO
13,607371_86244,607371,86244,AGUA DOCE CACHACARIA
14,607371_25193,607371,25193,BK DRIVE MARINGA
15,607371_12847,607371,12847,PIZZA HUT
16,607371_96081,607371,96081,LOPES  LOIOLA LTDA
17,607371_25822,607371,25822,MARKET4U
18,607371_96021,607371,96021,HINO MERCADO INTELIG
19,607371_24777,607371,24777,MONTANA GRILL
20,730882_9315,730882,9315,PICOS BURGUER BOBS
21,65522_9139,65522,9139,MONTANA GRILL
22,65522_10723,65522,10723,MONTANA EXPRESS
23,408158_12585,408158,12585,BURGER KING
24,630004_18525,630004,18525,CROASONHO TORRES
25,612820_2265,612820,2265,AGUA DOCE CACHACARIA
26,599794_15253,599794,15253,BURGER KING
27,599794_10032,599794,10032,BOB'S
28,643009_12503,643009,12503,10 PASTEIS
29,643009_12832,643009,12832,CROASONHO
30,295370_23659,295370,23659,VIVENDA DO CAMARAO
31,295370_30614,295370,30614,BOB  S CAPIM DOURADO
32,295370_28873,295370,28873, OGAWA E CIA LTDA ME
33,111_6387,111,6387,AGUA DOCE RONDONOPOL
34,295370_24568,295370,24568,DIVINO FOGAO PALMAS
35,295370_29666,295370,29666,DIVINO FOGaO CAPIM
36,295370_27833,295370,27833,GRILETTO
37,295370_26331,295370,26331,CHOPP TIME
38,295370_31520,295370,31520,BURG KING PALAMS SHO
39,295370_33157,295370,33157,G63
40,296708_6118,296708,6118,VIVENDA DO CAMARAO
41,296708_31234,296708,31234,BILLY THE GRILL
42,296708_30933,296708,30933,BURGUER KING SHOPPIN
43,296708_30631,296708,30631,BURGUER KING
44,296708_30930,296708,30930,BURGER KING RIO BRAN
45,296708_81416,296708,81416,BURGER KING JD NORTE
46,296708_18258,296708,18258,IBIS HOTEIS
47,296708_30391,296708,30391,BILLY THE GRILL
48,296708_81850,296708,81850,PIZZA HUT
49,296708_6119,296708,6119,UCI RIBEIRO
50,296708_33396,296708,33396,OUTBACK STEAKHOUSE
51,296708_34738,296708,34738,VERT GESTAO DE NEGOC
52,296708_35920,296708,35920,FILIAL BURGER KING F
53,548006_91603,548006,91603,10 PASTEIS
54,1188003_33283,1188003,33283,BURGER KING BRASIL
55,1188003_35271,1188003,35271,HOTEL IBIS
56,1188003_35316,1188003,35316,HOTEL IBIS
57,376469_3893,376469,3893,BURGER KING
58,376469_4691,376469,4691,Cine System
59,1320009_32290,1320009,32290,DIVINO FOGAO CG
60,1320009_27448,1320009,27448,DIVINO FOGAO NORTE S
61,1320009_22823,1320009,22823,VIVENDA DO CAMARAO
62,1320009_32283,1320009,32283,MONTANA GRILL
63,1320009_2142,1320009,2142,BURGER  KING
64,1320009_99893,1320009,99893,BURGUER KING
65,1320009_99892,1320009,99892,BURGUER KING
66,1320009_99905,1320009,99905,BURGER KING
67,1320009_2327,1320009,2327,BURGER KING
68,1320009_98206,1320009,98206,BURGER KING
69,1320009_7441,1320009,7441,NOVOTEL
70,1320009_15137,1320009,15137,AGUA DOCE
71,1320009_3536,1320009,3536,BK  BRILHANTE
72,1320009_2408,1320009,2408,BURGER KING
73,1320009_2420,1320009,2420,BURGER KING
74,1320009_31910,1320009,31910,GRILHETTOS
75,1320009_30559,1320009,30559,OUTBACK
76,1320009_18577,1320009,18577,PIZZA HUT
77,1320009_29525,1320009,29525,UCI CINEMAS
78,1320009_2172,1320009,2172,SALOME BAR
79,1320009_98915,1320009,98915,FN MERCADO AUTONOMO
80,1320009_5717,1320009,5717,MKT 4 YOU
81,1320009_98711,1320009,98711,BK COMPER ROTATORIA
82,1320009_6402,1320009,6402,TGCAMPO GRANDE
83,1320009_6129,1320009,6129,10 Pasteis
84,1320009_6532,1320009,6532,DMAHA MARKET
85,662003_14919,662003,14919,JIN JIN WOK
86,662003_10400,662003,10400,BK - FRANCA SHOPPING
87,662003_14351,662003,14351,BK - ALONSO Y ALONSO
88,662003_2516,662003,2516,GRILETTO
89,662003_96384,662003,96384,MARKET 4 YOU
90,662003_14660,662003,14660,BAUNILHA - CONFORT
91,662003_1703,662003,1703,HABIBS
92,662003_19742,662003,19742,PAULA FILHO
93,615323_6423,615323,6423,HABIB S PERUIBE
94,505145_53963,505145,53963,BURGER KING JUAZEIRO
95,505145_1372,505145,1372,GRILETTO JUA GARDEN
96,542644_15818,542644,15818,DIVINO FOGAO G SHOP
97,542644_39855,542644,39855,CHOPP TIME BUENA VIS
98,542644_32981,542644,32981,COCO BAMBU GOIANIA
99,542644_43535,542644,43535,DETROIT PLAZA D ORO
100,542644_8964,542644,8964,DETROIT CIDADE JD
101,542644_10926,542644,10926,DETROIT PORTAL SHOP
102,542644_42423,542644,42423,DETROIT ALTO GLORIA
103,542644_70400,542644,70400,DIVINO FOGAO BURITI
104,542644_39612,542644,39612,DIVINO FOGAO PASSEIO
105,542644_43654,542644,43654,DIVINO FOGAO FLAMB
106,542644_32660,542644,32660,VIVENDA DO CAMARAO
107,542644_30751,542644,30751,VIVENDA DO CAMARAO
108,542644_16101,542644,16101,GRILETTO CERRADO
109,542644_16917,542644,16917,PIZZA HUT FLAMBOYANT
110,542644_17302,542644,17302,GRILETTO PASSEIO
111,542644_38000,542644,38000,JIN JIN WOK
112,542644_43533,542644,43533,MONTANA GRILL EXPRES
113,542644_13631,542644,13631,BK PASSEIO DAS AGUAS
114,542644_9670,542644,9670,BK APARECIDA
115,542644_13647,542644,13647,BK AV 136
116,542644_13651,542644,13651,BK BURITI SHOP
117,542644_44913,542644,44913,BK SHOPPING CERRADO
118,542644_14816,542644,14816,BK AEROPORTO
119,542644_13650,542644,13650,BK FLAMBOYANT
120,542644_14819,542644,14819,BK BUENA VISTA
121,542644_13642,542644,13642,BK ARAGUAIA SHOPPING
122,542644_10503,542644,10503,BK PORTAL SHOP
123,542644_13646,542644,13646,BK AV 85
124,542644_13636,542644,13636,BK CIDADE JARDIM
125,542644_13645,542644,13645,BK BOUGANVILLE
126,542644_10642,542644,10642,BK PERIMETRAL
127,542644_13641,542644,13641,BK GOIANIA SHOP
128,542644_17388,542644,17388,BK ELDORADO
129,542644_18140,542644,18140,MIMI GRILL EVENTOS
130,542644_18122,542644,18122,PIZZA HUT BURITI
131,542644_18300,542644,18300,BK DRIVE T-63
132,542644_19043,542644,19043,BK PORTAL SUL
133,542644_39307,542644,39307,GRILETTO BURITI SHOP
134,542644_35000,542644,35000,OUTBACK PASSEIO
135,542644_33494,542644,33494,OUTBACK FLAMBOYANT
136,542644_39734,542644,39734,OUTBACK GOIANIA SHOP
137,542644_51808,542644,51808,PIZZA HUT MARISTA I
138,542644_44371,542644,44371,PIZZA HUT AEROPORTO
139,542644_24584,542644,24584,PIZZA HUT MARISTA II
140,542644_32805,542644,32805,PIZZA HUT PASSEIO
141,542644_39946,542644,39946,PIZZA HUT GYN SHOP
142,542644_99131,542644,99131,POBRE JUAN
143,542644_19492,542644,19492,BOBS APARECIDA SHOP
144,542644_27383,542644,27383,GOL LINHAS AEREAS
145,542644_21879,542644,21879,COMFORT SUITES FLAMB
146,542644_15281,542644,15281,ATLANTICA HOTELS
147,542644_19954,542644,19954,DOLCE VITA EMBARQUE
148,542644_17731,542644,17731,DOLCE VITA TERREO
149,542644_10897,542644,10897,CHOPP TIME NOVA ERA
150,542644_8937,542644,8937,CHOPP TIME FEST
151,542644_18135,542644,18135,SAPORE
152,542644_40587,542644,40587,TATU BOLA
153,542644_90101,542644,90101,SNACKIN
154,542644_45366,542644,45366,MANIA DE CHURRASCO
155,542644_45520,542644,45520,NESCAFE POINT
156,542644_30987,542644,30987,RESTAURANTE 21
157,542644_46929,542644,46929,BEER NOW
158,542644_47126,542644,47126,S e Z COMERCIAL
159,542644_47130,542644,47130,BM7 BEBIDAS
160,542644_10884,542644,10884,IBIS STYLES GOIANIA
161,542644_11344,542644,11344,HOTEL IBIS
162,542644_31044,542644,31044,ANSERVE
163,542644_90920,542644,90920,MERCADO PARA VOCE
164,542644_47996,542644,47996,VANESSA TAKE E GO
165,542644_48895,542644,48895,SWIFT MILAO
166,542644_48900,542644,48900,SWIFT MULTIRAO
167,542644_48923,542644,48923,S e Z comercial
168,542644_49158,542644,49158,HABIBS OESTE
